,account_value,date,daily_return
519,123157705.41415362,2018-01-24,-0.0014999999565443
520,123569255.26370764,2018-01-25,0.0033416492144771
521,125091837.52623536,2018-01-26,0.0123216916641475
522,124910999.51729947,2018-01-29,-0.001445641958037
523,123933564.5152912,2018-01-30,-0.0078250514829393
524,123721776.36957891,2018-01-31,-0.0017088844861405
525,123582986.12069196,2018-02-01,-0.0011217932118302
526,120972218.46289708,2018-02-02,-0.0211256236780457
527,115315872.50441234,2018-02-05,-0.0467573962878061
528,115142898.69851936,2018-02-06,-0.001499999975167
529,115142898.69851936,2018-02-07,0.0
530,113662650.29860224,2018-02-08,-0.0128557506945596
531,114887913.49555562,2018-02-09,0.0107798225163191
532,116964347.84832008,2018-02-12,0.0180735665709934
533,116711640.0250028,2018-02-13,-0.0021605542882605
534,117088650.7261826,2018-02-14,0.0032302750702419
535,118053366.14255708,2018-02-15,0.008239188088609
536,117643736.78778385,2018-02-16,-0.0034698659441746
537,116789770.02576531,2018-02-20,-0.0072589224495561
538,116118867.27004445,2018-02-21,-0.0057445335800632
539,117177160.91359475,2018-02-22,0.009113881907659
540,119137671.59271216,2018-02-23,0.0167311672669989
541,120156991.5205842,2018-02-26,0.0085558154213112
542,118185347.6922302,2018-02-27,-0.0164088980874345
543,116690626.69049436,2018-02-28,-0.0126472615338769
544,115339559.69388434,2018-03-01,-0.0115781964235529
545,112911346.57060476,2018-03-02,-0.0210527344626956
546,114420189.73945408,2018-03-05,0.0133630783324847
547,114438626.9019621,2018-03-06,0.0001611355701296
548,114499728.78907263,2018-03-07,0.0005339271255226
549,115419443.81453992,2018-03-08,0.0080324646634015
550,117470740.02446136,2018-03-09,0.0177725359101326
551,117586421.8814421,2018-03-12,0.0009847716712829
552,117065298.3591903,2018-03-13,-0.0044318341685507
553,116481781.64289808,2018-03-14,-0.0049845404613569
554,117877757.58216336,2018-03-15,0.0119845002332206
555,118457610.25664316,2018-03-16,0.004919101672558
556,116305887.01040857,2018-03-19,-0.0181644998710747
557,116535303.94094528,2018-03-20,0.0019725306812388
558,116449945.57174294,2018-03-21,-0.000732467898703
559,114469008.51639104,2018-03-22,-0.0170110603798563
560,112589017.5135521,2018-03-23,-0.0164235807333802
561,115740568.44519848,2018-03-26,0.0279916372062403
562,114467530.39664246,2018-03-27,-0.0109990651131007
563,114414849.69892126,2018-03-28,-0.0004602239389515
564,114841818.790783,2018-03-29,0.0037317629047739
565,113874881.71940236,2018-04-02,-0.0084197296904724
566,115866420.50024869,2018-04-03,0.0174888329258915
567,117104295.31240536,2018-04-04,
568,118487744.5739261,2018-04-05,0.0118138216692227
569,116169543.7202916,2018-04-06,-0.0195648998296879
570,116191389.14522032,2018-04-09,0.000188047781106
571,117989668.89730269,2018-04-10,0.0154768762583157
572,117653485.541916,2018-04-11,-0.0028492609440178
573,117809202.90000746,2018-04-12,0.0013235252434231
