,date,account_value
200,2021-07-20,113911855.29878496
201,2021-07-21,112822014.44931497
202,2021-07-22,114213434.58002998
203,2021-07-23,111635873.42489997
204,2021-07-26,111310803.08757497
205,2021-07-27,111808674.72159496
206,2021-07-28,112772916.27684496
207,2021-07-29,114213936.96876997
208,2021-07-30,114899472.59691496
209,2021-08-02,114912028.34629998
210,2021-08-03,116843035.68547498
211,2021-08-04,117255402.16422994
212,2021-08-05,118633772.69305997
213,2021-08-06,117539200.99871996
214,2021-08-09,119848670.51698497
215,2021-08-10,119917828.39423499
216,2021-08-11,119147893.80523495
217,2021-08-12,118626744.16663496
218,2021-08-13,119200116.20853496
219,2021-08-16,121790364.67551997
220,2021-08-17,122191865.65111998
221,2021-08-18,121616082.54562996
222,2021-08-19,124595898.12521498
223,2021-08-20,120751470.62801497
224,2021-08-23,118782142.70680496
225,2021-08-24,117663651.40327497
226,2021-08-25,118379127.64734495
227,2021-08-26,116832953.73291495
228,2021-08-27,117401099.47156496
229,2021-08-30,119031982.10679999
230,2021-08-31,119060803.83420497
231,2021-09-01,118706548.47040997
232,2021-09-06,119539761.73336996
233,2021-09-07,119167137.74057996
234,2021-09-08,120970712.72254996
235,2021-09-09,120931427.77503996
236,2021-09-10,120681335.22028996
237,2021-09-13,119992852.18564495
238,2021-09-14,118563511.20792495
239,2021-09-15,119251877.96160997
240,2021-09-16,117815687.06951995
241,2021-09-17,118053090.10559496
242,2021-09-20,117849828.12112495
243,2021-09-21,116684358.46317998
244,2021-09-22,117105284.20898496
245,2021-09-23,117430202.26023497
246,2021-09-24,117649989.16863495
247,2021-09-27,115000102.43937497
248,2021-09-28,116845264.13335498
249,2021-09-29,116552406.13407499
250,2021-09-30,117454841.44221996
251,2021-10-01,115950043.56224497
252,2021-10-04,116357386.70723498
253,2021-10-05,118498968.44504495
254,2021-10-06,118617080.11877994
255,2021-10-07,119356385.41948996
256,2021-10-08,119661467.76140495
257,2021-10-11,123006162.71485497
258,2021-10-12,122798057.66849999
259,2021-10-13,122080205.47223495
260,2021-10-14,121779125.00159496
261,2021-10-15,121746973.57931496
262,2021-10-18,122027926.78391995
263,2021-10-19,121870703.06313998
264,2021-10-20,121003214.04911497
265,2021-10-21,119836765.70340995
266,2021-10-22,119512718.31658497
267,2021-10-25,118584390.08526495
268,2021-10-26,119704956.61346498
269,2021-10-27,123355379.82126497
270,2021-10-28,123929513.59481998
271,2021-10-29,123491166.30098996
272,2021-11-01,123683285.09525497
273,2021-11-02,124586032.78572498
274,2021-11-03,124032179.53188498
275,2021-11-04,125258046.51355496
276,2021-11-05,125268163.42343497
277,2021-11-08,126831084.63294499
278,2021-11-09,126711693.81170997
279,2021-11-10,126515462.30483499
280,2021-11-11,125020899.52217497
281,2021-11-12,125764717.26998997
282,2021-11-15,126664688.03055495
283,2021-11-16,125213005.73299496
284,2021-11-17,126539297.49759996
285,2021-11-18,128033396.64368998
286,2021-11-19,126527798.08980995
287,2021-11-22,127333083.88844995
288,2021-11-23,130898513.88907996
289,2021-11-24,132489576.19161996
290,2021-11-25,134344399.64196995
291,2021-11-26,134242438.46555996
292,2021-11-29,138050122.72758996
293,2021-11-30,138180465.74156997
294,2021-12-01,138208115.95139498
295,2021-12-02,137167026.40252498
296,2021-12-03,132124550.32489498
297,2021-12-06,131442150.78204997
298,2021-12-07,134138190.982725
299,2021-12-08,133345115.39959995
300,2021-12-09,135828004.39666995
301,2021-12-10,133282162.89453995
302,2021-12-13,133771422.82819997
