date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WMT,XOM
2016-03-08,0,17372,0,0,0,-2272,0,0,0,0,0,-1583,0,-942,0,0,-2607,0,0,0,0,0,0,0,0,0,1,0,-5557
2016-03-09,0,0,0,-4089,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,3885,0,2,0
2016-03-10,0,7803,0,0,0,-2272,0,0,0,0,0,-1583,0,-942,0,0,-396,0,0,0,0,0,0,0,0,0,1,0,0
2016-03-11,0,1,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0
2016-03-14,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,358,0,1,0
2016-03-15,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,356,0,2,0
2016-03-16,0,1,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,353,0,0,0
2016-03-17,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,349,0,1,0
2016-03-18,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,348,0,2,0
2016-03-21,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,347,0,2,0
2016-03-22,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0
2016-03-23,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,348,0,1,0
2016-03-24,0,1,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0
2016-03-28,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,347,0,1,0
2016-03-29,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,344,0,2,0
2016-03-30,0,0,0,0,0,-59,0,0,0,0,0,0,0,-244,0,0,0,0,0,0,0,0,0,0,0,337,0,2,0
