,date,account_value
168,2016-09-01,105141767.3745397
169,2016-09-02,105584076.71201262
170,2016-09-06,105851579.53549132
171,2016-09-07,105824660.70135054
172,2016-09-08,105620777.04053816
173,2016-09-09,103260869.50265059
174,2016-09-12,104528696.87161955
175,2016-09-13,102744934.38804564
176,2016-09-14,102339969.44350752
177,2016-09-15,103314913.29576811
178,2016-09-16,102619550.61099562
179,2016-09-19,102563138.09498724
180,2016-09-20,102542450.8167108
181,2016-09-21,103364605.69141135
182,2016-09-22,103885400.67892584
183,2016-09-23,103106541.98042807
184,2016-09-26,101862066.59745345
185,2016-09-27,102688312.38285956
186,2016-09-28,103809008.10837683
187,2016-09-29,102609446.32768759
188,2016-09-30,103535026.45862898
189,2016-10-03,103248243.80800375
190,2016-10-04,102967985.99354872
191,2016-10-05,103739068.30436644
192,2016-10-06,103804413.79505476
193,2016-10-07,103716491.21804556
194,2016-10-10,104272564.83639082
195,2016-10-11,103287997.02996573
196,2016-10-12,103325164.5828565
197,2016-10-13,102875964.95861754
198,2016-10-14,103310821.54025015
199,2016-10-17,102968484.36773428
200,2016-10-18,103283673.46018538
201,2016-10-19,103818429.7102178
202,2016-10-20,103248949.21708235
203,2016-10-21,102847146.7522386
204,2016-10-24,103277908.13988623
205,2016-10-25,102814947.55366263
206,2016-10-26,103135627.74003538
207,2016-10-27,102992360.61101279
208,2016-10-28,103058509.6833013
209,2016-10-31,102838372.21783003
210,2016-11-01,102289253.54394087
211,2016-11-02,101665828.32108626
212,2016-11-03,101535524.6804975
213,2016-11-04,101383897.18343481
214,2016-11-07,103756594.80362639
215,2016-11-08,104364717.9354814
216,2016-11-09,106172203.64048514
217,2016-11-10,108306137.25133261
218,2016-11-11,108642185.1931108
219,2016-11-14,108493780.52053389
220,2016-11-15,108914458.47106871
221,2016-11-16,108452248.91959509
222,2016-11-17,109007851.356294
223,2016-11-18,108982793.10583243
224,2016-11-21,109729677.98390135
225,2016-11-22,110131563.2332395
226,2016-11-23,110396395.63399062
227,2016-11-25,110672038.01076254
228,2016-11-28,110247831.45040831
229,2016-11-29,110207523.76500067
230,2016-11-30,110626491.95397887
231,2016-12-01,111553883.85433707
232,2016-12-02,111335514.22302756
233,2016-12-05,111943088.97079596
234,2016-12-06,112281814.3332704
235,2016-12-07,114126869.60876974
236,2016-12-08,114881071.41919455
237,2016-12-09,115524653.63944182
238,2016-12-12,115677845.43248877
239,2016-12-13,116541618.99903998
240,2016-12-14,115985368.470857
241,2016-12-15,116356213.18945631
242,2016-12-16,116074736.55344519
243,2016-12-19,116121768.42871031
244,2016-12-20,117000420.31822905
245,2016-12-21,116683663.1375936
246,2016-12-22,116380170.49406561
247,2016-12-23,116419199.28436407
248,2016-12-27,116555762.87289557
249,2016-12-28,116066514.89567313
250,2016-12-29,115847633.97584471
251,2016-12-30,115717153.88157973
252,2017-01-03,116356689.37515196
253,2017-01-04,116689934.93724951
254,2017-01-05,115964088.12031302
255,2017-01-06,116432228.08156142
256,2017-01-09,115835245.93870673
257,2017-01-10,115449881.70603308
258,2017-01-11,116347347.03085265
259,2017-01-12,115810113.72426924
260,2017-01-13,115834062.51454863
261,2017-01-17,115148507.10155043
262,2017-01-18,114910526.95168051
263,2017-01-19,114185074.06939062
264,2017-01-20,114566040.47037825
265,2017-01-23,114275023.54594931
266,2017-01-24,115032591.92131743
267,2017-01-25,116073190.83212218
268,2017-01-26,116405124.40718397
269,2017-01-27,115815261.97605643
270,2017-01-30,115107634.63539633
271,2017-01-31,114092752.43380293
272,2017-02-01,114083249.6599401
273,2017-02-02,114328125.78524336
274,2017-02-03,116045559.7493833
275,2017-02-06,115783097.21736655
276,2017-02-07,115785241.69834647
277,2017-02-08,115495184.23696646
278,2017-02-09,116453009.57066473
279,2017-02-10,116996047.86175665
280,2017-02-13,117836197.64214644
281,2017-02-14,118709138.70113692
282,2017-02-15,119278546.56921133
283,2017-02-16,119040761.64370856
284,2017-02-17,119136061.74121603
285,2017-02-21,119836110.55102286
286,2017-02-22,119659442.00885329
287,2017-02-23,119813872.36197409
288,2017-02-24,119577016.3358644
289,2017-02-27,119533933.43388113
290,2017-02-28,119406729.89262328
291,2017-03-01,121280474.9331964
292,2017-03-02,120930212.51122412
293,2017-03-03,120925623.67562422
294,2017-03-06,120530440.58003554
295,2017-03-07,120187624.53143439
296,2017-03-08,119737378.52388892
297,2017-03-09,119691058.76486143
298,2017-03-10,119985740.01807722
299,2017-03-13,119560113.62755522
300,2017-03-14,119200416.52122054
301,2017-03-15,119653404.98732695
302,2017-03-16,119818214.30869612
303,2017-03-17,119419554.66148886
304,2017-03-20,118918576.87797865
305,2017-03-21,117245713.43626913
306,2017-03-22,117341516.3873361
307,2017-03-23,117436158.14464697
308,2017-03-24,116957781.61440405
309,2017-03-27,116433679.33359846
310,2017-03-28,117402271.7133592
311,2017-03-29,117299954.28851447
312,2017-03-30,117950253.37539229
313,2017-03-31,117406005.10891661
314,2017-04-03,117397699.14845785
315,2017-04-04,117616887.16947111
316,2017-04-05,117277937.11502394
317,2017-04-06,117426212.3765901
318,2017-04-07,117303447.15560088
319,2017-04-10,117505468.79702124
320,2017-04-11,117323218.0871099
321,2017-04-12,116899318.5650247
322,2017-04-13,115917897.38573584
323,2017-04-17,116877092.57020697
324,2017-04-18,115740149.94481596
325,2017-04-19,114870436.45286688
326,2017-04-20,115815051.8133615
327,2017-04-21,115237667.93942389
328,2017-04-24,116559238.24215826
329,2017-04-25,117246896.04927954
330,2017-04-26,117158746.01424345
331,2017-04-27,117141477.21666846
332,2017-04-28,116881586.6974977
333,2017-05-01,116690530.75739416
334,2017-05-02,116882639.43519339
335,2017-05-03,117314181.80922064
336,2017-05-04,117102939.32992491
337,2017-05-05,117170413.86183295
338,2017-05-08,117232911.29054388
339,2017-05-09,116836172.07507643
340,2017-05-10,117033928.74733862
341,2017-05-11,116961590.41571173
342,2017-05-12,116551699.42861685
343,2017-05-15,116941818.38498625
344,2017-05-16,117034090.86280188
345,2017-05-17,114569797.64425406
346,2017-05-18,114925079.29985747
347,2017-05-19,115717029.07705435
348,2017-05-22,116106746.28042349
349,2017-05-23,116534719.03970274
350,2017-05-24,116847827.30608305
351,2017-05-25,116813876.56059012
352,2017-05-26,116608736.34664854
353,2017-05-30,115944279.44692358
354,2017-05-31,115294048.10197005
355,2017-06-01,116181567.54221854
356,2017-06-02,115984595.88259253
357,2017-06-05,116169160.01114401
358,2017-06-06,116014163.08432898
359,2017-06-07,116081715.52370581
360,2017-06-08,116270059.99357352
361,2017-06-09,117273664.96813902
362,2017-06-12,117758370.84979948
363,2017-06-13,118067737.64080557
364,2017-06-14,118533868.10313353
365,2017-06-15,118382040.12341246
366,2017-06-16,118344917.8520616
367,2017-06-19,118952061.26857695
368,2017-06-20,118282925.81924185
369,2017-06-21,117637006.67548308
370,2017-06-22,117089684.26753744
371,2017-06-23,116755127.33945593
372,2017-06-26,117042803.4907907
373,2017-06-27,116765456.75683722
374,2017-06-28,117559453.62558493
375,2017-06-29,116941247.60498366
376,2017-06-30,116909349.23426756
377,2017-07-03,118203171.26258215
378,2017-07-05,117816750.47489104
379,2017-07-06,116695132.26711783
380,2017-07-07,116809875.29592451
381,2017-07-10,116581341.25413641
382,2017-07-11,116808778.41049704
383,2017-07-12,117371421.41477713
384,2017-07-13,117933285.81728682
385,2017-07-14,118079085.88539633
386,2017-07-17,118026489.75728163
387,2017-07-18,117391315.37733778
388,2017-07-19,117350558.04729971
389,2017-07-20,116562706.59893736
390,2017-07-21,115985875.43116888
391,2017-07-24,115584025.73042044
392,2017-07-25,116487146.36721167
393,2017-07-26,116312415.64815445
394,2017-07-27,116312415.64815445
395,2017-07-28,116290785.73818919
396,2017-07-31,116786875.06459625
397,2017-08-01,117413560.0918276
398,2017-08-02,117502048.52624266
399,2017-08-03,117375504.68038851
400,2017-08-04,118091803.64112383
401,2017-08-07,118326939.89629847
402,2017-08-08,118173081.85632235
403,2017-08-09,118394266.34593874
404,2017-08-10,116985994.57804018
405,2017-08-11,116715963.59846407
406,2017-08-14,117463013.24931055
407,2017-08-15,117146538.76742464
408,2017-08-16,117100615.9403258
409,2017-08-17,115425199.8653155
410,2017-08-18,115134685.85249239
411,2017-08-21,115145921.29850107
412,2017-08-22,116000109.27068049
413,2017-08-23,115635923.80904108
414,2017-08-24,115408578.28075701
415,2017-08-25,115834253.33797365
416,2017-08-28,115443238.97480875
417,2017-08-29,115508472.23749262
418,2017-08-30,115472980.83504206
419,2017-08-31,115659799.58340174
420,2017-09-01,116376665.44719797
421,2017-09-05,115093162.67409235
422,2017-09-06,116226172.0545283
423,2017-09-07,115493800.38285929
424,2017-09-08,115812249.50452524
425,2017-09-11,117003247.68006617
426,2017-09-12,117861599.06540018
427,2017-09-13,118093109.46653467
428,2017-09-14,118131528.82946879
429,2017-09-15,118045026.7717753
430,2017-09-18,118496340.12514216
431,2017-09-19,118665205.10112292
432,2017-09-20,119165791.42765146
433,2017-09-21,119323041.92704302
434,2017-09-22,119429280.84757143
435,2017-09-25,119491604.21797091
436,2017-09-26,119401206.93237215
437,2017-09-27,119760722.72978884
438,2017-09-28,120008150.35717303
439,2017-09-29,120150954.34313494
440,2017-10-02,121011835.82673937
441,2017-10-03,121476713.78261095
442,2017-10-04,121123512.31038576
443,2017-10-05,122157416.6444884
444,2017-10-06,121977403.1317473
445,2017-10-09,121454413.18194872
446,2017-10-10,121955082.45807558
447,2017-10-11,121934883.01498324
448,2017-10-12,121507792.29339892
449,2017-10-13,121492396.49433047
450,2017-10-16,122362203.39353853
451,2017-10-17,121600161.84672838
452,2017-10-18,123039559.0726195
453,2017-10-19,123282667.10293108
454,2017-10-20,124336708.65911013
455,2017-10-23,123498168.8568564
456,2017-10-24,123562333.57141787
457,2017-10-25,122713302.7403174
458,2017-10-26,122987900.76790148
459,2017-10-27,122291073.26225191
460,2017-10-30,122107636.658807
461,2017-10-31,122066554.80065861
462,2017-11-01,122381152.40835266
463,2017-11-02,122522526.68615362
464,2017-11-03,122346936.43092309
465,2017-11-06,122427368.47035612
466,2017-11-07,121987761.08820306
467,2017-11-08,122213789.07442722
468,2017-11-09,122102981.82268009
469,2017-11-10,122091001.44080982
470,2017-11-13,121447666.41128024
471,2017-11-14,120654048.10770282
472,2017-11-15,120005941.00657901
473,2017-11-16,121255894.9949213
474,2017-11-17,121074011.15641212
475,2017-11-20,121207557.79817504
476,2017-11-21,121794502.8230028
477,2017-11-22,121600895.94652079
478,2017-11-24,121786273.10053162
479,2017-11-27,121782162.94845188
480,2017-11-28,123116821.05751066
481,2017-11-29,123599264.32675955
482,2017-11-30,125106731.61703372
483,2017-12-01,124977337.92574368
484,2017-12-04,125674962.34849316
485,2017-12-05,124834214.08984338
486,2017-12-06,124002017.06099392
487,2017-12-07,124612880.63023898
488,2017-12-08,125319189.34252894
489,2017-12-11,125495144.42312102
490,2017-12-12,126514236.48887756
491,2017-12-13,126346982.59181939
492,2017-12-14,126039665.62977023
493,2017-12-15,126527158.12570481
494,2017-12-18,127230058.45438614
495,2017-12-19,126803592.52418162
496,2017-12-20,126862939.55873133
497,2017-12-21,127699502.0296786
498,2017-12-22,127630580.14002253
499,2017-12-26,127701618.33000208
500,2017-12-27,127575945.39285685
501,2017-12-28,127810421.71149851
502,2017-12-29,127260550.53181101
503,2018-01-02,128307941.24710108
504,2018-01-03,129289328.57941462
505,2018-01-04,130316173.1535876
506,2018-01-05,130807474.61259104
507,2018-01-08,130692718.90587641
508,2018-01-09,130984881.88792445
509,2018-01-10,130865635.56031825
510,2018-01-11,131925961.1840594
511,2018-01-12,132810013.40688731
512,2018-01-16,132853296.24136378
513,2018-01-17,133857465.8408549
514,2018-01-18,132929097.3516772
515,2018-01-19,132744038.00648142
516,2018-01-22,134063554.2578509
517,2018-01-23,134651894.33954263
518,2018-01-24,134909627.4564364
519,2018-01-25,135120561.5181849
520,2018-01-26,136177442.29391885
521,2018-01-29,135807951.45548654
522,2018-01-30,133851704.64933039
523,2018-01-31,134051723.59228541
524,2018-02-01,135006617.21368814
525,2018-02-02,130364561.92244364
526,2018-02-05,124144815.61189677
527,2018-02-06,126078201.81208064
528,2018-02-07,125635282.40182139
529,2018-02-08,121415549.77458598
530,2018-02-09,122795234.03196742
531,2018-02-12,124098941.29531886
532,2018-02-13,124206305.14246394
533,2018-02-14,125739353.46588542
534,2018-02-15,126915977.69390132
535,2018-02-16,127365283.15354563
536,2018-02-20,125439309.17522837
537,2018-02-21,124087932.74825312
538,2018-02-22,124730540.76602961
539,2018-02-23,126692578.81598307
540,2018-02-26,128500383.68105723
